Stats
CPU,Threads,Memory,Framework
5.5,6,3552.0,Kitura
5.3,6,3552.0,Kitura
5.5,6,3552.0,Kitura
5.9,6,3552.0,Kitura
5.7,6,3552.0,Kitura
5.9,6,3552.0,Kitura
5.8,6,3552.0,Kitura
5.4,6,3552.0,Kitura
6.3,6,3552.0,Kitura
5.6,6,3552.0,Kitura
5.0,6,3552.0,Kitura
5.3,6,3552.0,Kitura
5.1,6,3552.0,Kitura
5.1,6,3552.0,Kitura
5.2,6,3552.0,Kitura
5.3,6,3552.0,Kitura
5.3,6,3552.0,Kitura
5.3,6,3552.0,Kitura
4.7,6,3556.0,Kitura
5.3,6,3556.0,Kitura
5.7,6,3556.0,Kitura
5.6,6,3556.0,Kitura
5.7,6,3556.0,Kitura
5.4,6,3556.0,Kitura
5.4,6,3556.0,Kitura
5.7,6,3556.0,Kitura
5.7,6,3556.0,Kitura
5.7,6,3556.0,Kitura
5.2,6,3556.0,Kitura
5.4,6,3556.0,Kitura
5.7,6,3556.0,Kitura
5.2,6,3556.0,Kitura
5.6,6,3556.0,Kitura
5.8,6,3556.0,Kitura
5.9,7,3556.0,Kitura
5.7,7,3576.0,Kitura
5.7,7,3576.0,Kitura
5.8,7,3576.0,Kitura
6.1,7,3576.0,Kitura
5.5,7,3576.0,Kitura
4.0,7,3576.0,Kitura
5.4,7,3576.0,Kitura
5.5,7,3576.0,Kitura
5.4,7,3576.0,Kitura
5.2,7,3576.0,Kitura
5.4,7,3576.0,Kitura
5.6,7,3576.0,Kitura
5.3,7,3576.0,Kitura
4.9,7,3576.0,Kitura
5.5,7,3576.0,Kitura
5.6,6,3568.0,Kitura
5.6,6,3568.0,Kitura
5.6,6,3568.0,Kitura
5.2,6,3568.0,Kitura
5.5,6,3568.0,Kitura
5.5,6,3568.0,Kitura
5.5,6,3568.0,Kitura
5.6,6,3568.0,Kitura
5.1,6,3568.0,Kitura
5.8,6,3568.0,Kitura
5.6,6,3568.0,Kitura
5.7,6,3568.0,Kitura
5.6,6,3568.0,Kitura
5.7,7,3584.0,Kitura
5.6,7,3584.0,Kitura
5.6,7,3584.0,Kitura
6.0,7,3584.0,Kitura
5.6,7,3672.0,Kitura
6.8,7,3904.0,Kitura
5.4,7,3908.0,Kitura
3.8,7,3912.0,Kitura
5.5,7,3912.0,Kitura
5.4,7,3912.0,Kitura
5.6,7,3912.0,Kitura
5.7,7,3912.0,Kitura
5.8,7,3912.0,Kitura
5.6,7,3912.0,Kitura
5.7,7,3912.0,Kitura
5.0,7,3912.0,Kitura
5.6,7,3912.0,Kitura
5.6,7,3912.0,Kitura
5.7,7,3912.0,Kitura
5.6,7,3912.0,Kitura
5.6,7,3912.0,Kitura
5.7,7,3912.0,Kitura
5.6,7,3912.0,Kitura
5.5,7,3912.0,Kitura
5.5,7,3912.0,Kitura
